"Selection Sort","Insertion Sort"
4219600,171300
4282200,174500
4198200,194100
4188700,171300
4209100,171300
3807700,171300
4279600,192400
4155400,171400
4441000,215100
4280000,171500
4125800,171400
6442100,171500
4202700,174600
4298800,181300
4325600,179800
4345200,171500
4296900,171500
4297000,171400
4319900,192600
4344400,171300
4298100,171300
4297600,171300
4303100,171300
4324700,203300
4296900,237400
4323100,176400
4296000,193200
4323400,199600
4296800,198700
4298000,190700
4355400,165300
4325600,164900
4313600,164900
4296400,164700
4318900,234100
4326400,313200
4226100,267200
4125300,290700
4182500,308300
4004200,293300
4117500,268100
4139600,273300
4125800,256600
4183500,286900
4123800,203900
4179100,176200
4141800,172200
4123800,184000
4124800,181700
4144400,171900
3969400,185700
4063300,262000
3968500,268700
4105700,292400
3968200,264100
3997700,230100
3967400,265500
4025000,261300
4171000,238700
5854000,257700
4221800,245100
4125800,266900
4132000,276400
4120800,269000
4069000,273900
4032800,203400
4079300,217900
4074200,253300
4071900,246000
4047000,249200
3986800,270600
4047100,257600
4760100,276900
4066600,284200
4039100,274500
4029600,281300
4046000,259200
3965900,289200
3965600,288100
3999100,272000
4112100,269500
4098100,290100
3984400,250900
3992400,264400
4298600,256900
4042100,285300
4148700,269700
4385100,273200
3931600,259600
3409900,301300
3861600,263400
4371400,253100
4515500,232800
4484900,182800
4484700,165600
4891500,165200
4487500,165000
4508900,165000
5537300,170800
4974400,174700
4488100,158800
4542000,158700
5074200,158700
4760300,158600
3829800,161700
5548100,178400
4018300,164800
3892100,164800
3845500,164800
3937200,164700
4045900,184500
3973800,171500
3662400,171400
4322200,171500
4374700,171400
4351900,174300
5121200,171200
5335600,171300
5288400,171200
5297900,171300
5247600,171300
5468100,174300
5262600,171300
5063300,171300
4544800,171200
4546600,171300
4750800,171400
4682100,174400
4140000,171300
4329200,171300
4378400,171400
4684500,171300
4102900,171300
3956000,174300
4090400,171400
4653500,171200
4375400,171200
4550900,171000
4569000,171000
4482500,174000
4078300,171200
4543400,171200
4749100,171200
4228900,171100
4363200,174100
4553000,171100
4238200,171200
4038400,171100
3319700,171200
5448700,171100
4440700,174300
3942100,171300
3609600,171100
4148100,171200
4678000,171200
4462900,171200
4578100,174200
4650000,171200
5206400,171200
4554600,171200
4562100,171200
4946600,171200
4558600,174500
4579700,171200
4686100,171200
4588000,171200
4496600,171200
4500700,171100
4582200,174200
4220400,171300
4210100,171200
4138200,171300
4206400,171200
4139300,174200
4135000,171300
4142700,171200
4606100,171200
4380100,171200
4136700,171200
4215000,178500
4182200,171400
4136500,191800
4140300,178600
4221300,196900
4207200,195400
4138900,182300
4136500,204100
4077900,171600
3980500,171500
4141300,171400
4052000,174500
5907200,171400
4190900,180100
4126500,164600
4211400,164600
4287600,164600
4136100,169600
4129400,176800
4347200,158600
4297000,158600
4351800,158600
4298400,158800
4302200,161400
4298000,176500
4322300,164600
4381300,164600
4298800,164700
4322700,164700
4298000,167700
4489000,181900
